GTF_tag,Locus_tag,Gene_name,Product
gene-Rv2105,Rv2105,Rv2105,Putative transposase for insertion sequence element IS6110 (fragment)
gene-Rv2106,Rv2106,Rv2106,Probable transposase
gene-Rv2107,Rv2107,PE22,PE family protein PE22
gene-Rv2108,Rv2108,PPE36,PPE family protein PPE36
gene-Rv2109c,Rv2109c,prcA,Proteasome alpha subunit PrcA; assembles with beta subunit PrcB.
gene-Rv2110c,Rv2110c,prcB,Proteasome beta subunit PrcB; assembles with alpha subunit PrcA.
gene-Rv2111c,Rv2111c,pup,Prokaryotic ubiquitin-like protein Pup
gene-Rv2112c,Rv2112c,dop,Deamidase of pup Dop
gene-Rv2113,Rv2113,Rv2113,Probable integral membrane protein
gene-Rv2114,Rv2114,Rv2114,Conserved protein
gene-Rv2115c,Rv2115c,mpa,Mycobacterial proteasome ATPase Mpa
gene-Rv2116,Rv2116,lppK,Conserved lipoprotein LppK
gene-Rv2117,Rv2117,Rv2117,Conserved hypothetical protein
gene-Rv2118c,Rv2118c,Rv2118c,RNA methyltransferase
gene-Rv2119,Rv2119,Rv2119,Conserved hypothetical protein
gene-Rv2120c,Rv2120c,Rv2120c,Probable conserved integral membrane protein
gene-Rv2121c,Rv2121c,hisG,ATP phosphoribosyltransferase HisG
gene-Rv2122c,Rv2122c,hisE,Phosphoribosyl-AMP pyrophosphatase HisE
gene-Rv2123,Rv2123,PPE37,PPE family protein PPE37
gene-Rv2124c,Rv2124c,metH,"5-methyltetrahydrofolate--homocystein methyltransferase MetH (methionine synthase, vitamin-B12 dependent isozyme) (ms)"
gene-Rv2125,Rv2125,Rv2125,Conserved hypothetical protein
gene-Rv2126c,Rv2126c,PE-PGRS37,PE-PGRS family protein PE_PGRS37
gene-Rv2127,Rv2127,ansP1,L-asparagine permease AnsP1
gene-Rv2128,Rv2128,Rv2128,Conserved transmembrane protein
gene-Rv2129c,Rv2129c,Rv2129c,Probable oxidoreductase
gene-Rv2130c,Rv2130c,mshC,Cysteine:1D-myo-inosityl 2-amino-2-deoxy--D-glucopyranoside ligase MshC
gene-Rv2131c,Rv2131c,cysQ,Monophosphatase CysQ
gene-Rv2132,Rv2132,Rv2132,Conserved hypothetical protein
gene-Rv2133c,Rv2133c,Rv2133c,Conserved hypothetical protein
gene-Rv2134c,Rv2134c,Rv2134c,Conserved protein
gene-Rv2135c,Rv2135c,Rv2135c,Conserved protein
gene-Rv2136c,Rv2136c,Rv2136c,Possible conserved transmembrane protein
gene-Rv2137c,Rv2137c,Rv2137c,Conserved hypothetical protein
gene-Rv2138,Rv2138,lppL,Probable conserved lipoprotein LppL
gene-Rv2139,Rv2139,pyrD,Probable dihydroorotate dehydrogenase PyrD
gene-Rv2140c,Rv2140c,TB18.6,Conserved protein TB18.6
gene-Rv2141c,Rv2141c,Rv2141c,Conserved protein
gene-Rv2142c,Rv2142c,parD2,Possible toxin ParE2
gene-Rv2142A,Rv2142A,parE2,Possible antitoxin ParD2
gene-Rv2143,Rv2143,Rv2143,Conserved hypothetical protein
gene-Rv2144c,Rv2144c,Rv2144c,Probable transmembrane protein
gene-Rv2145c,Rv2145c,wag31,Diviva family protein Wag31
gene-Rv2146c,Rv2146c,Rv2146c,Possible conserved transmembrane protein
gene-Rv2147c,Rv2147c,Rv2147c,Conserved hypothetical protein
gene-Rv2148c,Rv2148c,Rv2148c,Conserved protein
gene-Rv2149c,Rv2149c,yfiH,Conserved protein YfiH
gene-Rv2150c,Rv2150c,ftsZ,Cell division protein FtsZ
gene-Rv2151c,Rv2151c,ftsQ,Possible cell division protein FtsQ
gene-Rv2152c,Rv2152c,murC,Probable UDP-N-acetylmuramate-alanine ligase MurC
gene-Rv2153c,Rv2153c,murG,Probable UPD-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol-N-acetylglucosamine transferase MurG
gene-Rv2154c,Rv2154c,ftsW,FtsW-like protein FtsW
gene-Rv2155c,Rv2155c,murD,Probable UDP-N-acetylmuramoylalanine-D-glutamate ligase MurD
gene-Rv2156c,Rv2156c,murX,Probable phospho-N-acetylmuramoyl-pentappeptidetransferase MurX
gene-Rv2157c,Rv2157c,murF,"Probable UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanyl ligase MurF"
gene-Rv2158c,Rv2158c,murE,"Probable UDP-N-acetylmuramoylalanyl-D-glutamate-2,6-diaminopimelate ligase MurE"
gene-Rv2159c,Rv2159c,Rv2159c,Conserved protein
gene-Rv2160A,Rv2160A,Rv2160A,Conserved hypothetical protein
gene-Rv2160c,Rv2160c,Rv2160c,Conserved hypothetical protein
gene-Rv2161c,Rv2161c,Rv2161c,Conserved protein
gene-Rv2162c,Rv2162c,PE-PGRS38,PE-PGRS family protein PE_PGRS38
gene-Rv2163c,Rv2163c,pbpB,Probable penicillin-binding membrane protein PbpB
gene-Rv2164c,Rv2164c,Rv2164c,Probable conserved proline rich membrane protein
gene-Rv2165c,Rv2165c,Rv2165c,Conserved protein
gene-Rv2166c,Rv2166c,Rv2166c,Conserved protein
gene-Rv2167c,Rv2167c,Rv2167c,Probable transposase
gene-Rv2168c,Rv2168c,Rv2168c,Putative transposase for insertion sequence element IS6110 (fragment)
gene-Rv2169c,Rv2169c,Rv2169c,Probable conserved transmembrane protein
gene-Rv2170,Rv2170,Rv2170,GCN5-related N-acetyltransferase
gene-Rv2171,Rv2171,lppM,Probable conserved lipoprotein LppM
gene-Rv2172c,Rv2172c,Rv2172c,Conserved protein
gene-Rv2173,Rv2173,idsA2,Probable geranylgeranyl pyrophosphate synthetase IdsA2 (ggppsase) (GGPP synthetase) (geranylgeranyl diphosphate synthase)
gene-Rv2174,Rv2174,mptA,Alpha(1->6)mannosyltransferase. Possible conserved integral membrane protein.
gene-Rv2175c,Rv2175c,Rv2175c,Conserved regulatory protein
gene-Rv2176,Rv2176,pknL,Probable transmembrane serine/threonine-protein kinase L PknL (protein kinase L) (STPK L)
gene-Rv2177c,Rv2177c,Rv2177c,Possible transposase
gene-Rv2178c,Rv2178c,aroG,"3-deoxy-D-arabino-heptulosonate 7-phosphate synthase AroG (DAHP synthetase, phenylalanine-repressible)"
gene-Rv2179c,Rv2179c,Rv2179c,Conserved hypothetical protein
gene-Rv2180c,Rv2180c,Rv2180c,Probable conserved integral membrane protein
gene-Rv2181,Rv2181,Rv2181,Alpha(1->2)mannosyltransferase
gene-Rv2182c,Rv2182c,Rv2182c,1-acylglycerol-3-phosphate O-acyltransferase
gene-Rv2183c,Rv2183c,Rv2183c,Conserved protein
gene-Rv2184c,Rv2184c,Rv2184c,Conserved hypothetical protein
gene-Rv2185c,Rv2185c,TB16.3,Conserved protein TB16.3
gene-Rv2186c,Rv2186c,Rv2186c,Conserved hypothetical protein
gene-Rv2187,Rv2187,fadD15,Long-chain-fatty-acid-CoA ligase FadD15 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv2188c,Rv2188c,pimB,Mannosyltransferase PimB
gene-Rv2189c,Rv2189c,Rv2189c,Conserved hypothetical protein
gene-Rv2190c,Rv2190c,Rv2190c,Conserved hypothetical protein
gene-Rv2191,Rv2191,Rv2191,Conserved hypothetical protein
gene-Rv2192c,Rv2192c,trpD,Probable anthranilate phosphoribosyltransferase TrpD
gene-Rv2193,Rv2193,ctaE,Probable cytochrome C oxidase (subunit III) CtaE
gene-Rv2194,Rv2194,qcrC,Probable ubiquinol-cytochrome C reductase QcrC (cytochrome C subunit)
gene-Rv2195,Rv2195,qcrA,Probable rieske iron-sulfur protein QcrA
gene-Rv2196,Rv2196,qcrB,Probable ubiquinol-cytochrome C reductase QcrB (cytochrome B subunit)
gene-Rv2197c,Rv2197c,Rv2197c,Probable conserved transmembrane protein
gene-Rv2198c,Rv2198c,mmpS3,Probable conserved membrane protein MmpS3
gene-Rv2199c,Rv2199c,Rv2199c,Possible conserved integral membrane protein
gene-Rv2200c,Rv2200c,ctaC,Probable transmembrane cytochrome C oxidase (subunit II) CtaC
gene-Rv2201,Rv2201,asnB,Probable asparagine synthetase AsnB
gene-Rv2202c,Rv2202c,adoK,Adenosine kinase
gene-Rv2203,Rv2203,Rv2203,Possible conserved membrane protein
gene-Rv2204c,Rv2204c,Rv2204c,Conserved protein
gene-Rv2205c,Rv2205c,Rv2205c,Conserved hypothetical protein
gene-Rv2206,Rv2206,Rv2206,Probable conserved transmembrane protein
gene-Rv2207,Rv2207,cobT,Probable nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase CobT
gene-Rv2208,Rv2208,cobS,Probable cobalamin 5'-phosphate synthase CobS
gene-Rv2209,Rv2209,Rv2209,Probable conserved integral membrane protein
gene-Rv2210c,Rv2210c,ilvE,Branched-chain amino acid transaminase IlvE
gene-Rv2211c,Rv2211c,gcvT,Probable aminomethyltransferase GcvT (glycine cleavage system T protein)
gene-Rv2212,Rv2212,Rv2212,Adenylyl cyclase (ATP pyrophosphate-lyase) (adenylate cyclase)
gene-Rv2213,Rv2213,pepB,Probable aminopeptidase PepB
gene-Rv2214c,Rv2214c,ephD,Possible short-chain dehydrogenase EphD
gene-Rv2215,Rv2215,dlaT,"DlaT, dihydrolipoamide acyltransferase, E2 component of pyruvate dehydrogenase"
gene-Rv2216,Rv2216,Rv2216,Conserved protein
gene-Rv2217,Rv2217,lipB,Probable lipoate biosynthesis protein B LipB
gene-Rv2218,Rv2218,lipA,Probable lipoate biosynthesis protein A LipA
gene-Rv2219,Rv2219,Rv2219,Probable conserved transmembrane protein
gene-Rv2219A,Rv2219A,Rv2219A,Probable conserved membrane protein
gene-Rv2220,Rv2220,glnA1,Glutamine synthetase GlnA1 (glutamine synthase) (GS-I)
gene-Rv2221c,Rv2221c,glnE,Glutamate-ammonia-ligase adenylyltransferase GlnE (glutamine-synthetase adenylyltransferase)
gene-Rv2222c,Rv2222c,glnA2,Probable glutamine synthetase GlnA2 (glutamine synthase) (GS-II)
gene-Rv2223c,Rv2223c,Rv2223c,Probable exported protease
gene-Rv2224c,Rv2224c,caeA,Probable carboxylesterase CaeA
gene-Rv2225,Rv2225,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase PanB
gene-Rv2226,Rv2226,Rv2226,Conserved protein
gene-Rv2227,Rv2227,Rv2227,Conserved hypothetical protein
gene-Rv2228c,Rv2228c,Rv2228c,"Multifunctional protein. Has RNASE H, alpha-ribazole phosphatase, and acid phosphatase activities."
gene-Rv2229c,Rv2229c,Rv2229c,Conserved protein
gene-Rv2230c,Rv2230c,Rv2230c,Conserved protein
gene-Rv2231c,Rv2231c,Rv2231Ac,Possible aminotransferase CobC
gene-Rv2231A,Rv2231A,Rv2231B,Possible toxin VapC16
gene-Rv2231B,Rv2231B,cobC,Possible antitoxin VapB16
gene-Rv2232,Rv2232,ptkA,Protein tyrosine kinase transcriptional regulatory protein PtkA
gene-Rv2234,Rv2234,ptpA,Phosphotyrosine protein phosphatase PtpA (protein-tyrosine-phosphatase) (PTPase) (LMW phosphatase)
gene-Rv2235,Rv2235,Rv2235,Probable conserved transmembrane protein
gene-Rv2236c,Rv2236c,cobD,Probable cobalamin biosynthesis transmembrane protein CobD
gene-Rv2237,Rv2237,Rv2237,Conserved protein
gene-Rv2237A,Rv2237A,Rv2237A,Conserved protein
gene-Rv2238c,Rv2238c,ahpE,Probable peroxiredoxin AhpE
gene-Rv2239c,Rv2239c,Rv2239c,Conserved hypothetical protein
gene-Rv2240c,Rv2240c,Rv2240c,Unknown protein
gene-Rv2241,Rv2241,aceE,Pyruvate dehydrogenase E1 component AceE (pyruvate decarboxylase) (pyruvate dehydrogenase) (pyruvic dehydrogenase)
gene-Rv2242,Rv2242,Rv2242,Conserved hypothetical protein
gene-Rv2243,Rv2243,fabD,Malonyl CoA-acyl carrier protein transacylase FabD (malonyl CoA:ACPM acyltransferase) (MCT)
gene-Rv2244,Rv2244,acpM,Meromycolate extension acyl carrier protein AcpM
gene-Rv2245,Rv2245,kasA,3-oxoacyl-[acyl-carrier protein] synthase 1 KasA (beta-ketoacyl-ACP synthase) (KAS I)
gene-Rv2246,Rv2246,kasB,3-oxoacyl-[acyl-carrier protein] synthase 2 KasB (beta-ketoacyl-ACP synthase) (KAS I)
gene-Rv2247,Rv2247,accD6,Acetyl/propionyl-CoA carboxylase (beta subunit) AccD6
gene-Rv2248,Rv2248,Rv2248,Conserved hypothetical protein
gene-Rv2249c,Rv2249c,glpD1,Probable glycerol-3-phosphate dehydrogenase GlpD1
gene-Rv2250c,Rv2250c,Rv2250c,Possible transcriptional regulatory protein
gene-Rv2250A,Rv2250A,Rv2250A,Possible flavoprotein
gene-Rv2251,Rv2251,Rv2251,Possible flavoprotein
gene-Rv2252,Rv2252,Rv2252,Diacylglycerol kinase
gene-Rv2253,Rv2253,Rv2253,Possible secreted unknown protein
gene-Rv2254c,Rv2254c,Rv2254c,Probable integral membrane protein
gene-Rv2255c,Rv2255c,Rv2255c,Hypothetical protein
gene-Rv2256c,Rv2256c,Rv2256c,Conserved hypothetical protein
gene-Rv2257c,Rv2257c,Rv2257c,Conserved protein
gene-Rv2258c,Rv2258c,Rv2258c,Possible transcriptional regulatory protein
gene-Rv2259,Rv2259,mscR,S-nitrosomycothiol reductase MscR
gene-Rv2260,Rv2260,Rv2260,Conserved hypothetical protein
gene-Rv2261c,Rv2261c,Rv2261c,Conserved hypothetical protein
gene-Rv2262c,Rv2262c,Rv2262c,Conserved hypothetical protein
gene-Rv2263,Rv2263,Rv2263,Possible oxidoreductase
gene-Rv2264c,Rv2264c,Rv2264c,Conserved hypothetical proline rich protein
gene-Rv2265,Rv2265,Rv2265,Possible conserved integral membrane protein
gene-Rv2266,Rv2266,cyp124,Probable cytochrome P450 124 Cyp124
gene-Rv2267c,Rv2267c,Rv2267c,Conserved hypothetical protein
gene-Rv2268c,Rv2268c,cyp128,Probable cytochrome P450 128 Cyp128
gene-Rv2269c,Rv2269c,Rv2269c,Hypothetical protein
gene-Rv2270,Rv2270,lppN,Probable lipoprotein LppN
gene-Rv2271,Rv2271,Rv2271,Conserved hypothetical protein
gene-Rv2272,Rv2272,Rv2272,Probable conserved transmembrane protein
gene-Rv2273,Rv2273,Rv2273,Probable conserved transmembrane protein
gene-Rv2274c,Rv2274c,mazF8,Possible toxin MazF8
gene-Rv2274A,Rv2274A,mazE8,Possible antitoxin MazE8
gene-Rv2275,Rv2275,Rv2275,Conserved hypothetical protein
gene-Rv2276,Rv2276,cyp121,Cytochrome P450 121 Cyp121
gene-Rv2277c,Rv2277c,Rv2277c,Possible glycerolphosphodiesterase
gene-Rv2278,Rv2278,Rv2278,Putative transposase for insertion sequence element IS6110 (fragment)
gene-Rv2279,Rv2279,Rv2279,Probable transposase
gene-Rv2280,Rv2280,Rv2280,Probable dehydrogenase
gene-Rv2281,Rv2281,pitB,Putative phosphate-transport permease PitB
gene-Rv2282c,Rv2282c,Rv2282c,Probable transcription regulator (LysR family)
gene-Rv2283,Rv2283,Rv2283,Hypothetical protein
gene-Rv2284,Rv2284,lipM,Probable esterase LipM
gene-Rv2285,Rv2285,Rv2285,Possible triacylglycerol synthase (diacylglycerol acyltransferase)
gene-Rv2286c,Rv2286c,Rv2286c,Conserved hypothetical protein
gene-Rv2287,Rv2287,yjcE,Probable conserved integral membrane transport protein YjcE
gene-Rv2288,Rv2288,Rv2288,Hypothetical protein
gene-Rv2289,Rv2289,cdh,Probable CDP-diacylglycerol pyrophosphatase Cdh (CDP-diacylglycerol diphosphatase) (CDP-diacylglycerol phosphatidylhydrolase)
gene-Rv2290,Rv2290,lppO,Probable conserved lipoprotein LppO
gene-Rv2291,Rv2291,sseB,Probable thiosulfate sulfurtransferase SseB
gene-Rv2292c,Rv2292c,Rv2292c,Hypothetical protein
gene-Rv2293c,Rv2293c,Rv2293c,Conserved hypothetical protein
gene-Rv2294,Rv2294,Rv2294,Probable aminotransferase
gene-Rv2295,Rv2295,Rv2295,Conserved hypothetical protein
gene-Rv2296,Rv2296,Rv2296,Probable haloalkane dehalogenase
gene-Rv2297,Rv2297,Rv2297,Unknown protein
gene-Rv2298,Rv2298,Rv2298,Conserved protein
gene-Rv2299c,Rv2299c,htpG,Probable chaperone protein HtpG (heat shock protein) (HSP90 family protein) (high temperature protein G)
gene-Rv2300c,Rv2300c,Rv2300c,Conserved protein
gene-Rv2301,Rv2301,cut2,Probable cutinase Cut2
gene-Rv2302,Rv2302,Rv2302,Conserved protein
gene-Rv2303c,Rv2303c,Rv2303c,Probable antibiotic-resistance protein
gene-Rv2304c,Rv2304c,Rv2304c,Hypothetical protein
gene-Rv2305,Rv2305,Rv2305,Unknown protein
gene-Rv2306A,Rv2306A,Rv2306A,Possible conserved membrane protein
gene-Rv2306B,Rv2306B,Rv2306B,Possible conserved membrane protein
gene-Rv2307c,Rv2307c,Rv2307c,Conserved hypothetical protein
gene-Rv2307A,Rv2307A,Rv2307A,Hypothetical glycine rich protein
gene-Rv2307B,Rv2307B,Rv2307B,Hypothetical glycine rich protein
gene-Rv2307D,Rv2307D,Rv2307D,Hypothetical protein
gene-Rv2308,Rv2308,Rv2308,Conserved hypothetical protein
gene-Rv2309c,Rv2309c,Rv2309c,Possible integrase (fragment)
gene-Rv2309A,Rv2309A,Rv2309A,Hypothetical protein
gene-Rv2310,Rv2310,Rv2310,Possible excisionase
gene-Rv2311,Rv2311,Rv2311,Conserved hypothetical protein
gene-Rv2312,Rv2312,Rv2312,Hypothetical protein
gene-Rv2313c,Rv2313c,Rv2313c,Hypothetical protein
gene-Rv2314c,Rv2314c,Rv2314c,Conserved protein
gene-Rv2315c,Rv2315c,Rv2315c,Conserved protein
gene-Rv2316,Rv2316,uspA,Probable sugar-transport integral membrane protein ABC transporter UspA
gene-Rv2317,Rv2317,uspB,Probable sugar-transport integral membrane protein ABC transporter UspB
gene-Rv2318,Rv2318,uspC,Probable periplasmic sugar-binding lipoprotein UspC
gene-Rv2319c,Rv2319c,Rv2319c,Universal stress protein family protein
gene-Rv2320c,Rv2320c,rocE,Probable cationic amino acid transport integral membrane protein RocE
gene-Rv2321c,Rv2321c,rocD2,Probable ornithine aminotransferase (C-terminus part) RocD2 (ornithine--oxo-acid aminotransferase)
gene-Rv2322c,Rv2322c,rocD1,Probable ornithine aminotransferase (N-terminus part) RocD1 (ornithine--oxo-acid aminotransferase)
gene-Rv2323c,Rv2323c,Rv2323c,Conserved protein
gene-Rv2324,Rv2324,Rv2324,Probable transcriptional regulatory protein (probably AsnC-family)
gene-Rv2325c,Rv2325c,Rv2325c,Conserved hypothetical protein
gene-Rv2326c,Rv2326c,Rv2326c,Possible transmembrane ATP-binding protein ABC transporter
gene-Rv2327,Rv2327,Rv2327,Conserved protein
gene-Rv2328,Rv2328,PE23,PE family protein PE23
gene-Rv2329c,Rv2329c,narK1,Probable nitrite extrusion protein 1 NarK1 (nitrite facilitator 1)
gene-Rv2330c,Rv2330c,lppP,Probable lipoprotein LppP
gene-Rv2331,Rv2331,Rv2331,Hypothetical protein
gene-Rv2331A,Rv2331A,Rv2331A,Hypothetical protein
gene-Rv2332,Rv2332,mez,Probable [NAD] dependent malate oxidoreductase Mez (malic enzyme) (NAD-malic enzyme) (malate dehydrogenase (oxaloacetate decarboxylating)) (pyruvic-malic carboxylase) (NAD-me)
gene-Rv2333c,Rv2333c,stp,Integral membrane drug efflux protein Stp
gene-Rv2334,Rv2334,cysK1,Cysteine synthase a CysK1 (O-acetylserine sulfhydrylase A) (O-acetylserine (thiol)-lyase A) (CSASE A)
gene-Rv2335,Rv2335,cysE,Probable serine acetyltransferase CysE (sat)
gene-Rv2336,Rv2336,Rv2336,Hypothetical protein
gene-Rv2337c,Rv2337c,Rv2337c,Hypothetical protein
gene-Rv2338c,Rv2338c,moeW,Possible molybdopterin biosynthesis protein MoeW
gene-Rv2339,Rv2339,mmpL9,Probable conserved transmembrane transport protein MmpL9
gene-Rv2340c,Rv2340c,PE-PGRS39,PE-PGRS family protein PE_PGRS39
gene-Rv2341,Rv2341,lppQ,Probable conserved lipoprotein LppQ
gene-Rv2342,Rv2342,Rv2342,Conserved hypothetical protein
gene-Rv2343c,Rv2343c,dnaG,Probable DNA primase DnaG
gene-Rv2344c,Rv2344c,dgt,Probable deoxyguanosine triphosphate triphosphohydrolase Dgt (dGTPase) (dGTP triphosphohydrolase)
gene-Rv2345,Rv2345,Rv2345,Possible conserved transmembrane protein
gene-Rv2346c,Rv2346c,esxO,Putative ESAT-6 like protein EsxO (ESAT-6 like protein 6)
gene-Rv2347c,Rv2347c,esxP,Putative ESAT-6 like protein EsxP (ESAT-6 like protein 7)
gene-Rv2348c,Rv2348c,Rv2348c,Hypothetical protein
gene-Rv2349c,Rv2349c,plcC,Probable phospholipase C 3 PlcC
gene-Rv2350c,Rv2350c,plcB,Membrane-associated phospholipase C 2 PlcB
gene-Rv2351c,Rv2351c,plcA,Membrane-associated phospholipase C 1 PlcA (MTP40 antigen)
gene-Rv2352c,Rv2352c,PPE38,PPE family protein PPE38
gene-Rv2353c,Rv2353c,PPE39,PPE family protein PPE39
gene-Rv2354,Rv2354,Rv2354,Probable transposase for insertion sequence element IS6110 (fragment)
gene-Rv2355,Rv2355,Rv2355,Probable transposase
gene-Rv2356c,Rv2356c,PPE40,PPE family protein PPE40
gene-Rv2357c,Rv2357c,glyS,Probable glycyl-tRNA synthetase GlyS (glycine--tRNA ligase) (GLYRS)
gene-Rv2358,Rv2358,smtB,Probable transcriptional regulatory protein SmtB (probably ArsR-family)
gene-Rv2359,Rv2359,zur,Probable zinc uptake regulation protein Zur
gene-Rv2360c,Rv2360c,Rv2360c,Unknown protein
gene-Rv2361c,Rv2361c,Rv2361c,Long (C50) chain Z-isoprenyl diphosphate synthase (Z-decaprenyl diphosphate synthase)
gene-Rv2362c,Rv2362c,recO,Possible DNA repair protein RecO
gene-Rv2363,Rv2363,amiA2,Probable amidase AmiA2 (aminohydrolase)
gene-Rv2364c,Rv2364c,era,Probable GTP-binding protein Era
gene-Rv2365c,Rv2365c,Rv2365c,Conserved hypothetical protein
gene-Rv2366c,Rv2366c,Rv2366c,Probable conserved transmembrane protein
gene-Rv2367c,Rv2367c,Rv2367c,Conserved hypothetical protein
gene-Rv2368c,Rv2368c,phoH1,Probable PHOH-like protein PhoH1 (phosphate starvation-inducible protein PSIH)
gene-Rv2369c,Rv2369c,Rv2369c,Hypothetical protein
gene-Rv2370c,Rv2370c,Rv2370c,Conserved hypothetical protein
gene-Rv2371,Rv2371,PE-PGRS40,PE-PGRS family protein PE_PGRS40
gene-Rv2372c,Rv2372c,Rv2372c,Conserved hypothetical protein
gene-Rv2373c,Rv2373c,dnaJ2,Probable chaperone protein DnaJ2
gene-Rv2374c,Rv2374c,hrcA,Probable heat shock protein transcriptional repressor HrcA
gene-Rv2375,Rv2375,Rv2375,Conserved hypothetical protein
gene-Rv2376c,Rv2376c,cfp2,Low molecular weight antigen CFP2 (low molecular weight protein antigen 2) (CFP-2)
gene-Rv2377c,Rv2377c,mbtH,Putative conserved protein MbtH
gene-Rv2378c,Rv2378c,mbtG,Lysine-N-oxygenase MbtG (L-lysine 6-monooxygenase) (lysine N6-hydroxylase)
gene-Rv2379c,Rv2379c,mbtF,Peptide synthetase MbtF (peptide synthase)
gene-Rv2380c,Rv2380c,mbtE,Peptide synthetase MbtE (peptide synthase)
gene-Rv2381c,Rv2381c,mbtD,Polyketide synthetase MbtD (polyketide synthase)
gene-Rv2382c,Rv2382c,mbtC,Polyketide synthetase MbtC (polyketide synthase)
gene-Rv2383c,Rv2383c,mbtB,Phenyloxazoline synthase MbtB (phenyloxazoline synthetase)
gene-Rv2384,Rv2384,mbtA,Bifunctional enzyme MbtA: salicyl-AMP ligase (SAL-AMP ligase) + salicyl-S-ArCP synthetase
gene-Rv2385,Rv2385,mbtJ,Putative acetyl hydrolase MbtJ
gene-Rv2386c,Rv2386c,mbtI,Isochorismate synthase MbtI
gene-Rv2387,Rv2387,Rv2387,Conserved protein
gene-Rv2388c,Rv2388c,hemN,Probable oxygen-independent coproporphyrinogen III oxidase HemN (coproporphyrinogenase) (coprogen oxidase)
gene-Rv2389c,Rv2389c,rpfD,Probable resuscitation-promoting factor RpfD
gene-Rv2390c,Rv2390c,Rv2390c,Conserved hypothetical protein
gene-Rv2391,Rv2391,sirA,Ferredoxin-dependent sulfite reductase SirA
gene-Rv2392,Rv2392,cysH,"Probable 3'-phosphoadenosine 5'-phosphosulfate reductase CysH (PAPS reductase, thioredoxin DEP.) (padops reductase) (3'- phosphoadenylylsulfate reductase) (PAPS sulfotransferase)"
gene-Rv2393,Rv2393,che1,Ferrochelatase Che1
gene-Rv2394,Rv2394,ggtB,Probable gamma-glutamyltranspeptidase precursor GgtB (gamma-glutamyltransferase) (glutamyl transpeptidase)
gene-Rv2395,Rv2395,Rv2395,Probable conserved integral membrane protein
gene-Rv2395A,Rv2395A,aprA,Acid and phagosome regulated protein A AprA
gene-Rv2395B,Rv2395B,Rv2395B,Acid and phagosome regulated protein B AprB
gene-Rv2396,Rv2396,PE-PGRS41,PE-PGRS family protein PE_PGRS41
gene-Rv2397c,Rv2397c,cysA1,Sulfate-transport ATP-binding protein ABC transporter CysA1
gene-Rv2398c,Rv2398c,cysW,Probable sulfate-transport integral membrane protein ABC transporter CysW
gene-Rv2399c,Rv2399c,cysT,Probable sulfate-transport integral membrane protein ABC transporter CysT
gene-Rv2400c,Rv2400c,subI,Probable sulfate-binding lipoprotein SubI
gene-Rv2401,Rv2401,Rv2401,Hypothetical protein
gene-Rv2401A,Rv2401A,Rv2401A,Possible conserved membrane protein
gene-Rv2402,Rv2402,Rv2402,Conserved protein
gene-Rv2403c,Rv2403c,lppR,Probable conserved lipoprotein LppR
gene-Rv2404c,Rv2404c,lepA,Probable GTP-binding protein LepA (GTP-binding elongation factor)
gene-Rv2405,Rv2405,Rv2405,Conserved protein
gene-Rv2406c,Rv2406c,Rv2406c,Conserved protein
gene-Rv2407,Rv2407,Rv2407,Conserved hypothetical protein
gene-Rv2408,Rv2408,PE24,Possible PE family-related protein PE24
gene-Rv2409c,Rv2409c,Rv2409c,Conserved protein
gene-Rv2410c,Rv2410c,Rv2410c,Conserved protein
gene-Rv2411c,Rv2411c,Rv2411c,Conserved hypothetical protein
gene-Rv2412,Rv2412,rpsT,30S ribosomal protein S20 RpsT
gene-Rv2413c,Rv2413c,Rv2413c,Conserved hypothetical protein
gene-Rv2414c,Rv2414c,Rv2414c,Conserved hypothetical protein
gene-Rv2415c,Rv2415c,Rv2415c,Conserved hypothetical protein
gene-Rv2416c,Rv2416c,eis,"Enhanced intracellular survival protein Eis, GCN5-related N-acetyltransferase"
gene-Rv2417c,Rv2417c,Rv2417c,Conserved protein
gene-Rv2418c,Rv2418c,Rv2418c,Sugar octanoyltransferase OctT
gene-Rv2419c,Rv2419c,gpgP,Glucosyl-3-phosphoglycerate phosphatase GpgP
gene-Rv2420c,Rv2420c,Rv2420c,Conserved hypothetical protein
gene-Rv2421c,Rv2421c,nadD,Probable nicotinate-nucleotide adenylyltransferase NadD (deamido-NAD(+) pyrophosphorylase) (deamido-NAD(+) diphosphorylase) (nicotinate mononucleotide adenylyltransferase) (NAMN adenylyltransferase)
gene-Rv2422,Rv2422,Rv2422,Hypothetical protein
gene-Rv2423,Rv2423,Rv2423,Hypothetical protein
gene-Rv2424c,Rv2424c,Rv2424c,Probable transposase
gene-Rv2425c,Rv2425c,Rv2425c,Conserved hypothetical protein
gene-Rv2426c,Rv2426c,Rv2426c,Conserved hypothetical protein
gene-Rv2427c,Rv2427c,proA,Probable gamma-glutamyl phosphate reductase protein ProA (GPR) (glutamate-5-semialdehyde dehydrogenase) (glutamyl-gamma-semialdehyde dehydrogenase)
